time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-20 00:00:00+00:00,19,13,64,4
2023-04-21 00:00:00+00:00,36,28,362,17
2023-04-22 00:00:00+00:00,3,3,104,22
2023-04-23 00:00:00+00:00,3,3,110,21
2023-04-24 00:00:00+00:00,7,7,162,19
2023-04-25 00:00:00+00:00,8,8,110,37
2023-04-26 00:00:00+00:00,6,6,60,21
2023-04-27 00:00:00+00:00,4,4,100,18
2023-04-28 00:00:00+00:00,3,2,151,27
2023-04-29 00:00:00+00:00,2,2,44,13
2023-04-30 00:00:00+00:00,4,4,55,13
2023-05-01 00:00:00+00:00,4,4,256,33
2023-05-02 00:00:00+00:00,4,4,172,31
2023-05-03 00:00:00+00:00,15,9,372,68
2023-05-04 00:00:00+00:00,1,1,95,22
