time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-02 00:00:00+00:00,2,2,69,11
2023-05-03 00:00:00+00:00,15,9,372,68
2023-05-04 00:00:00+00:00,7,5,176,35
2023-05-05 00:00:00+00:00,4,4,104,30
2023-05-06 00:00:00+00:00,8,5,150,41
2023-05-07 00:00:00+00:00,2,2,107,27
2023-05-08 00:00:00+00:00,5,5,159,29
2023-05-09 00:00:00+00:00,3,3,295,27
2023-05-10 00:00:00+00:00,4,4,108,18
2023-05-11 00:00:00+00:00,6,5,140,28
2023-05-12 00:00:00+00:00,5,5,160,44
2023-05-13 00:00:00+00:00,4,4,164,29
2023-05-14 00:00:00+00:00,8,5,208,15
2023-05-15 00:00:00+00:00,7,6,176,37
2023-05-16 00:00:00+00:00,2,2,183,26
