time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-15 00:00:00+00:00,1,1,22,14
2023-05-16 00:00:00+00:00,6,6,406,43
2023-05-17 00:00:00+00:00,9,7,310,47
2023-05-18 00:00:00+00:00,4,4,122,39
2023-05-19 00:00:00+00:00,3,3,63,29
2023-05-20 00:00:00+00:00,9,6,132,24
2023-05-21 00:00:00+00:00,9,6,158,21
2023-05-22 00:00:00+00:00,8,7,234,36
2023-05-23 00:00:00+00:00,5,5,96,25
2023-05-24 00:00:00+00:00,8,6,82,22
2023-05-25 00:00:00+00:00,7,5,256,35
2023-05-26 00:00:00+00:00,5,4,199,25
2023-05-27 00:00:00+00:00,11,7,67,20
2023-05-28 00:00:00+00:00,4,4,63,17
2023-05-29 00:00:00+00:00,3,3,96,13
